P00001606T0076|14 33|alkaline phosphatases
P00015731A0090|36 52|carbonic anhydrase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P00029953T0045|17 22|lipase
P00030183T0000|33 38|HLA-B5
P00030937A0119|0 3|SGPT
P00030937A0119|5 8|SGOT
P00030937A0119|13 31|alkaline phosphatase
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P00033873T0001|28 31|GGTP
P00050628A0202|2 4|IgG
P00052597T0000|9 23|immunoglobulin E
P00054900A0226|0 9|Peroxydase
P00054900A0226|37 57|chloroacetate esterase
P00055040A0000|116 125|fibrinogen
P00055040A0000|127 132|fibrin
P00055040A0000|158 167|FR-antigen
P00055040A0000|243 254|cryoglobulin
P00055040A0000|269 278|fibrinogen
P00056901A0308|10 21|human albumin
P00066874T0000|13 41|amniotic fluid alpha fetoprotein
P00072928T0000|6 13|ferritin
P00083846T0000|0 6|Albumin
P00089778A0000|18 37|alpha 2-macroglobulin
P00089778A0000|39 56|alpha 1-antitrypsin
P00089778A0000|58 68|plasminogen
P00089778A0000|70 82|C3-complement
P00089778A0000|84 112|fibrinogen degradation products
P00089778A0000|114 116|FDP
P00100540T0000|44 66|platelet cyclo-oxygenase
P00105401A0635|75 77|TBG
P00139624A0318|48 65|serum ceruloplasmin
P00150066A0100|6 20|human fibrinogen
P00150066A0100|52 59|thrombin
P00154430A0906|94 100|HindIII
P00154430A0906|102 106|EcoRI
P00201881A0487|65 68|ACTH
P00201881A0487|72 74|MSH
P00209664A0836|28 34|serum LH
P00216939T0001|32 61|tricarboxylic acid dehydrogenase
P00219565A0172|14 30|hepatitis B antigen
P00221725A0523|25 41|cytochrome oxidase
P00221725A0523|43 52|peroxidase
P00224013A0661|335 359|beta-Vasodilator receptors
P00227393T0000|12 45|25-hydroxyvitamin D3-24-hydroxylase
P00227393T0000|63 90|cytochrome P-450 monooxygenase
P00227610A1593|31 37|DBP mRNA
P00231555T0001|74 77|ACTH
P00232354A0286|0 8|Serum ACTH
P00232354A0286|24 30|insulin
P00234264A0164|0 26|Gamma glutamyl transpeptidase
P00261981A0434|10 34|maternal serum somatomedin A
P00304806A0760|12 24|serum alpha1AT
P00331128A0000|17 26|calcitonin
P00331936T0000|44 59|immunoperoxidase
P00331936T0000|60 71|antiglobulin
P00336354A0543|13 19|serum GH
P00336354A0543|59 65|insulin
P00342623A0228|49 60|type B antigen
P00369397A0280|5 7|FSH
P00369397A0280|11 12|LH
P00369397A0280|56 59|GnRH
P00369397A0280|82 84|FSH
P00369397A0280|88 89|LH
P00377466A0188|19 36|luteinizing hormone
P00377466A0188|38 39|LH
P00377466A0188|42 67|follicle stimulating hormone
P00377466A0188|69 71|FSH
P00377466A0188|74 82|prolactin
P00377466A0188|84 87|HPRL
P00378492A0475|0 4|Renin
P00378492A0475|98 108|plasma renin
P00385457A0187|20 25|pepsin
P00420460A0291|59 69|plasma renin
P00429949A0000|103 116|human prolactin
P00429949A0000|201 214|human prolactin
P00431832T0001|42 53|beta receptor
P00432615A0541|85 103|bovine gammaglobulin
P00445259T0000|5 12|ferritin
P00453780A0430|15 22|serum IgA
P00453780A0430|155 157|IgA
P00464387A1185|30 32|IgE
P00465681A0000|7 16|hemoglobin
P00473249T0000|40 52|streptolysin O
P00499588T0000|49 55|insulin
P00521732T0000|81 97|steroid sulphatase
P00528144T0000|11 21|transferrin
P00534613A0000|95 102|collagen
P00593119T0001|42 44|IgE
P00594617A0192|171 184|fibrin monomers
P00597715A0256|79 81|FSH
P00598012A0174|7 15|prolactin
P00598012A0174|84 92|prolactin
P00601401A0181|6 15|hemoglobin
P00603783A0647|13 15|IgG
P00603783A0647|19 21|IgM
P00603783A0647|77 79|IgA
P00618078A0367|14 21|lysozyme
P00622556A0111|16 23|collagen
P00627129A0944|165 191|alpha-and beta-adrenoceptors
P00637637T0000|33 37|renin
P00656008T0000|41 59|superoxide dismutase
P00668122A0414|106 113|ferritin
P00676790T0000|0 10|Angiotensin
P00710372A0302|82 83|GH
P00715753A0241|10 14|CK-MB
P00715753A0241|40 42|CPK
P00715753A0241|53 61|total-CPK
P00715753A0241|115 119|CK-MB
P00716366T0001|22 50|alkaline phosphatase isoenzymes
P00725534A0888|66 68|IgA
P00725534A0888|139 141|IgA
P00725752T0001|44 65|adrenergic beta receptor
P00759400T0000|26 44|5-HT releasing factor
P00780639X0000|0 22|Carcinoembryonic antigen
P00780639X0000|24 26|CEA
P00792847A0000|21 42|antilymphocyte globulin
P00792847A0000|44 46|ALG
